# date   login    logout   uptm  upsec date -h 
20121203 10:02:35 18:38:16 08:36 30960 03/12/12 Mon
20121204 09:46:54 17:43:04 07:56 28560 04/12/12 Tue
20121205 09:52:27 17:53:06 08:00 28880 05/12/12 Wed
20121207 10:14:43 18:38:37 08:23 30180 07/12/12 Fri
20121210 09:54:49 18:32:48 08:37 31020 10/12/12 Mon
20121211 10:02:59 19:21:28 09:18 33480 11/12/12 Tue
20121212 10:24:13 18:56:52 08:32 30720 12/12/12 Wed
20121213 10:00:12 19:31:41 09:31 34260 13/12/12 Thu
20121214 09:16:17 19:08:43 09:52 35546 14/12/12 Fri
20121217 09:57:13 18:34:40 08:37 31020 17/12/12 Mon
20121218 09:20:09 18:42:26 09:22 33720 18/12/12 Tue
20121219 09:36:45 19:57:41 10:20 37200 19/12/12 Wed
20121220 09:40:30 19:59:22 10:18 37080 20/12/12 Thu
20121221 09:44:44 17:16:27 07:31 27060 21/12/12 Fri
20130102 10:57:42 17:11:01 06:14 21614 02/01/13 Wed
20130103 10:10:44 17:10:21 06:59 25140 03/01/13 Thu
20130107 10:02:13 18:23:15 08:21 30060 07/01/13 Mon
20130108 09:53:54 18:27:56 08:34 30840 08/01/13 Tue
20130109 10:27:00 18:36:35 08:09 29340 09/01/13 Wed
20130110 10:46:15 18:12:19 07:26 26760 10/01/13 Thu
20130111 09:42:51 18:14:06 08:31 30660 11/01/13 Fri
20130114 09:52:34 17:55:45 08:03 28980 14/01/13 Mon
20130115 09:36:45 18:48:18 09:12 33120 15/01/13 Tue
20130116 09:45:22 18:36:58 08:51 31860 16/01/13 Wed
20130117 10:05:03 19:30:11 09:25 33900 17/01/13 Thu
20130118 09:43:10 18:14:41 08:31 30660 18/01/13 Fri
20130121 09:47:10 18:50:57 09:03 32580 21/01/13 Mon
20130122 10:05:21 18:42:56 08:37 31020 22/01/13 Tue
20130123 09:11:03 19:15:39 10:04 36240 23/01/13 Wed
20130124 09:42:34 19:00:15 09:17 33420 24/01/13 Thu
20130125 09:42:55 19:38:04 09:55 35700 25/01/13 Fri
20130128 09:45:29 18:52:26 09:06 32760 28/01/13 Mon
20130129 08:59:24 19:02:58 10:03 36180 29/01/13 Tue
20130130 09:10:34 18:12:58 09:02 32520 30/01/13 Wed
20130204 10:35:19 19:00:32 08:25 30300 04/02/13 Mon
20130205 09:38:16 18:33:30 08:55 32100 05/02/13 Tue
20130206 10:17:11 18:47:02 08:29 30540 06/02/13 Wed
20130207 09:44:57 19:30:38 09:45 35100 07/02/13 Thu
20130208 09:56:22 18:36:55 08:40 31200 08/02/13 Fri
20130211 09:53:26 19:43:58 09:50 35400 11/02/13 Mon
20130212 09:58:05 19:06:42 09:08 32880 12/02/13 Tue
20130213 10:09:26 19:01:44 08:52 31920 13/02/13 Wed
20130214 09:42:37 20:01:26 10:18 37080 14/02/13 Thu
20130218 09:46:11 19:08:36 09:22 33720 18/02/13 Mon
20130219 09:51:49 18:48:29 08:56 32160 19/02/13 Tue
20130220 09:54:53 20:30:57 10:36 38160 20/02/13 Wed
20130221 09:44:22 19:55:02 10:10 36600 21/02/13 Thu
20130222 09:32:27 18:25:02 08:52 31920 22/02/13 Fri
20130225 09:51:16 18:38:14 08:46 31560 25/02/13 Mon
20130226 09:44:39 19:35:45 09:51 35460 26/02/13 Tue
20130228 12:07:12 18:32:25 06:25 23100 28/02/13 Thu
20130301 09:30:28 18:13:32 08:43 31380 01/03/13 Fri
20130304 09:40:20 18:44:24 09:04 32640 04/03/13 Mon
20130305 10:01:44 18:48:23 08:46 31560 05/03/13 Tue
20130306 10:14:28 18:35:38 08:21 30060 06/03/13 Wed
20130307 09:53:52 18:35:53 08:42 31320 07/03/13 Thu
20130308 09:56:34 18:49:47 08:53 31980 08/03/13 Fri
20130311 09:59:28 18:47:37 08:48 31680 11/03/13 Mon
20130312 09:43:23 18:04:51 08:21 30060 12/03/13 Tue
20130313 09:57:40 18:51:29 08:53 31980 13/03/13 Wed
20130314 10:29:32 19:49:12 09:19 33540 14/03/13 Thu
20130315 09:52:29 17:29:20 07:36 27360 15/03/13 Fri
20130318 11:11:50 17:54:49 06:42 24120 18/03/13 Mon
20130319 10:09:23 18:02:43 07:53 28380 19/03/13 Tue
20130320 09:54:24 18:21:37 08:27 30420 20/03/13 Wed
20130321 09:50:13 18:45:30 08:55 32100 21/03/13 Thu
20130322 10:09:51 19:40:18 09:30 34200 22/03/13 Fri
20130325 09:42:29 17:42:34 08:00 28800 25/03/13 Mon
20130326 09:54:56 17:50:43 07:55 28500 26/03/13 Tue
20130327 09:56:02 18:14:10 08:18 29880 27/03/13 Wed
