# date   login    logout   uptm  upsec date -h 
20121203 10:02:35 18:38:16 08:36 30960 03/12/12 Mon
20121204 09:46:54 17:43:04 07:56 28560 04/12/12 Tue
20121205 09:52:27 17:53:06 08:00 28880 05/12/12 Wed
20121207 10:14:43 18:38:37 08:23 30180 07/12/12 Fri
20121210 09:54:49 18:32:48 08:37 31020 10/12/12 Mon
20121211 10:02:59 19:21:28 09:18 33480 11/12/12 Tue
20121212 10:24:13 18:56:52 08:32 30720 12/12/12 Wed
20121213 10:00:12 19:31:41 09:31 34260 13/12/12 Thu
20121214 09:16:17 19:08:43 09:52 35546 14/12/12 Fri
20121217 09:57:13 18:34:40 08:37 31020 17/12/12 Mon
20121218 09:20:09 18:42:26 09:22 33720 18/12/12 Tue
20121219 09:36:45 19:57:41 10:20 37200 19/12/12 Wed
20121220 09:40:30 19:59:22 10:18 37080 20/12/12 Thu
20121221 09:44:44 17:16:27 07:31 27060 21/12/12 Fri
